Recency,Frequency,Monetary
52,894,1411.44
7,1220,1702.52
138,316,494.08
316,386,1693.88
3,3627,6457.63
238,356,1143.6
210,743,1351.45
59,551,752.47
17,846,1246.24
19,817,693.23
21,1996,3868.7
21,592,671.72
4,1056,1881.3200000000002
2,611,1295.87
15,278,476.82
2,126,249.71
9,258,418.66
65,3,76.85
192,164,294.92
256,215,344.53999999999996
334,292,461.48
53,592,860.41
18,64,318.48
360,78,166.18
10,5256,6977.04
183,300,382.58
36,187,455.65000000000003
168,216,400.36
261,227,458.85
44,164,229.64000000000001
147,374,863.46
95,125,452.20000000000005
281,52,126.03999999999999
178,914,1157.88
3,722,942.34
214,70,92.72
70,548,918.98
74,230,1759.5
59,232,397.12
2,1054,1468.1200000000001
5,197,430.15000000000003
2,494,1018.71
322,375,253.05
37,9848,6814.64
262,135,215.05
32,195,383.03
145,156,417.38
282,110,312.38
59,1062,2610.36
173,24,134.1
33,355,671.95
2,3805,5588.12
143,1505,2714.27
4,2646,3845.63
70,547,1118.99
65,753,1680.76
29,125,325.96000000000004
267,204,354.09
22,873,843.64
31,579,992.65
96,106,131.81
290,145,299.75
107,782,1881.7
78,621,1280.9
372,30,38.1
7,1073,2153.53
210,343,1106.4
52,186,504.2
138,216,147.12
26,877,1548.07
283,167,499.12
26,4261,3962.99
185,928,1607.0600000000002
366,-2,-14.899999999999999
84,200,380.64
326,319,599.97
282,128,374.0
143,2019,343.2300000000001
57,1930,2053.02
3,1178,1535.77
18,536,841.64
44,363,552.5699999999999
275,21,298.0
9,246,1463.04
24,196,703.47
88,43,309.05
63,654,1158.27
67,761,1351.09
214,68,313.77
24,256,376.71999999999997
185,950,331.0
30,90,176.55
42,204,347.3
204,110,216.5
8,21299,16316.14
264,66,138.68
18,294,496.06
11,1749,2919.81
176,600,360.0
39,1270,2128.83
23,1692,3075.04
2,670,1662.3
4,1417,2453.63
148,93,363.65
138,1075,2921.15
128,120,594.0
8,668,1301.44
17,128,162.78
3,9454,16389.74
161,370,405.38
64,67,171.57
88,479,922.0
4,540,679.05
35,1472,2062.7000000000003
122,36,105.1
78,250,409.9
21,23577,33544.81
24,498,606.28
2,1852,2156.45
17,539,1012.9
15,1007,1504.27
25,140,114.14
64,4876,11581.8
46,399,862.44
131,198,675.6
35,289,604.51
288,165,462.95
143,1157,1407.29
16,1077,2053.7
30,2363,4143.02
2,1380,1843.0
8,500,1042.07
5,652,1382.8400000000001
9,84,329.85
1,3642,4734.26
306,34,108.07
4,2531,3979.04
7,129,266.39
8,881,1856.63
89,282,769.8100000000001
9,75,160.18
3,243,1194.75
112,73,135.95
7,268,405.47
3,9204,10933.76
197,24,144.8
211,561,738.6
156,12,39.239999999999995
155,864,7092.06
29,242,372.21999999999997
239,278,377.2
18,26,97.5
0,1413,1215.6200000000001
73,217,545.0
292,126,505.82
3,2915,6854.51
31,200,409.5
23,405,503.76
23,240,414.76
4,440,902.22
77,98,200.72
22,648,1197.94
196,342,455.88
106,379,534.85
4,5482,9765.07
318,73,120.94999999999999
105,103,149.05
11,4796,5613.43
173,167,468.95
56,55,81.57
323,115,178.46999999999997
372,13,50.550000000000004
9,668,1301.72
1,2217,4786.99
2,884,3365.43
53,1609,3339.64
73,527,789.89
16,5434,7272.75
4,1336,2584.4
64,280,599.9
1,1587,943.77
113,17280,6912.0
22,796,659.68
30,134,1247.5
11,348,752.4399999999999
38,367,996.52
357,83,190.55
54,369,642.77
57,627,886.63
138,431,881.07
80,360,908.46
8,355,676.99
253,251,471.57
291,429,560.47
99,221,305.28000000000003
30,264,629.31
46,1355,3089.1
14,1220,1789.41
64,268,656.6800000000001
9,3706,5680.86
212,222,348.15000000000003
64,891,1201.96
24,52,271.40000000000003
249,35,183.4
253,123,307.53
72,107,248.61
191,342,331.98
12,514,1105.59
373,74,205.86
24,320,430.9
82,32,115.46000000000001
10,200,344.0
0,5454,3713.14
192,110,228.8
266,69,177.15
129,485,919.61
1,862,728.02
1,5557,12432.28
4,62,220.10000000000002
179,120,58.08
1,18930,27972.08
126,4313,3595.48
4,187,303.75
157,108,272.38
2,30742,57322.13
8,2193,8674.39
21,450,319.82
70,271,459.83
267,3943,7741.47
21,1542,1708.8600000000001
70,144,74.39999999999999
32,2339,5901.07
1,15911,28658.88
234,113,101.19
1,4160,6336.29
39,82,243.94
3,504,1098.48
128,14,59.5
44,1288,1524.07
372,298,350.06
2,514,766.84
31,384,1452.8700000000001
0,2596,10523.65
8,1534,2205.63
117,290,485.19
21,945,984.91
19,389,1125.0
269,227,254.73
94,585,922.39
89,2119,3756.33
4,2130,2056.29
77,127,259.17
94,32,64.0
23,443,1039.3
261,20,77.3
273,32,109.8
72,1044,1740.63
50,1312,2545.38
10,2204,3603.29
22,473,962.39
16,2418,5055.79
108,185,422.47
84,1547,2385.8
19,258,307.09
332,21,110.95
39,142,614.77
26,154,228.91
10,144,712.8000000000001
29,1818,3324.62
14,1280,1676.06
203,361,1250.3700000000001
5,418,486.22
33,497,971.76
49,1430,1721.57
94,784,1201.06
8,1044,1371.25
22,56,91.8
313,29,112.75
122,1663,1644.99
46,1376,1021.48
282,214,414.7
18,773,779.33
36,668,1290.54
63,272,712.88
26,141,108.81
8,227,426.81
4,277,353.65
16,1351,2738.82
46,448,481.49
64,91,282.45
26,3570,5725.47
45,201,121.18
7,2208,3957.78
14,1631,1615.45
39,804,1539.69
337,95,236.02
18,842,260.68
95,595,911.94
61,46,112.08
135,26,60.7
11,1224,1797.78
10,2645,3384.09
3,6171,9788.96
19,516,870.09
9,800,869.46
15,130,250.26000000000002
59,767,1193.17
30,4232,5820.16
93,316,353.48
10,834,1095.42
9,308,779.33
56,1357,1518.43
267,297,333.74
122,114,133.62
127,88,62.63999999999999
78,196,819.2900000000001
240,243,844.86
200,88,163.20000000000002
60,1509,2147.85
3,3352,6083.04
273,80,108.21000000000001
201,99,257.7
81,200,358.0
225,63,160.95
4,1517,2712.07
12,771,1327.75
74,1004,605.12
212,441,1031.07
24,411,727.27
11,296,680.83
261,327,329.56
96,297,648.7
112,130,270.40000000000003
203,232,585.12
92,38,121.74000000000001
50,125,430.5
18,1537,1896.32
17,328,501.12
124,305,465.68
92,546,711.41
156,1572,1030.4
3,174,390.66
11,282,672.83
61,126,283.18
61,142,557.62
268,210,944.1
263,125,200.29
1,4761,7411.71
53,1740,2092.66
11,4299,3717.67
2,1939,4404.44
17,3525,3105.66
1,3508,5312.97
37,168,172.37
31,96,276.56
113,153,138.98
63,161,590.9300000000001
15,176,258.4
40,537,542.73
64,70,126.30000000000001
122,518,798.46
18,289,1047.8400000000001
59,90,93.66
322,79,196.15
23,2051,2709.12
155,233,361.11
38,347,578.9399999999999
189,453,873.74
359,81,197.95000000000002
137,78,87.4
7,963,2089.85
1,96,360.0
268,30,142.5
164,201,365.29
103,343,600.19
351,238,300.42
4,1232,2000.86
22,840,1367.6100000000001
7,1544,1456.79
8,575,1083.63
4,305,598.57
22,851,1555.32
1,487,593.51
37,5508,5732.93
64,1003,2140.07
1,304,640.76
5,4686,10664.34
70,1056,1475.2
72,372,567.36
17,117,199.48000000000002
3,175,787.85
32,5200,7072.8
81,240,675.3
38,1588,3617.57
316,680,1308.48
31,427,740.4
92,751,1140.93
14,179,350.9
82,1764,3502.32
77,559,795.12
154,246,381.82
200,326,860.12
45,5770,10736.48
260,301,775.85
172,125,253.93
67,952,2511.69
276,138,327.6
70,204,291.36
64,136,233.76
10,224,197.32
16,282,810.72
66,116,323.94
7,314,339.28
71,604,743.53
122,314,674.7
80,325,768.24
257,321,609.4
268,284,389.03
59,158,381.26
3,1379,3085.4900000000002
17,708,892.5
66,0,0.0
8,1238,2191.22
256,326,573.4
354,126,213.75
366,336,721.32
89,158,328.64
60,1651,3312.25
81,441,772.9
99,490,869.76
26,601,572.56
21,2027,3626.81
280,131,222.99
30,2415,4122.28
329,281,534.57
121,281,627.15
11,428,782.96
74,224,544.08
1,2216,2318.3
185,336,307.72
21,592,1325.29
72,429,1539.18
192,281,457.34
127,479,621.23
17,44,75.0
1,111,252.49
204,163,557.45
1,16128,27888.38
8,513,988.91
107,72,213.55
133,1574,1390.5
43,142,712.5
4,162,640.83
11,3839,5845.44
63,275,221.06
134,88,140.35
40,1102,1821.11
51,1321,2601.55
108,1122,1609.21
0,2225,3558.32
19,545,582.6
10,151,201.78
10,1390,1006.8
18,739,652.07
67,672,1269.1
74,300,534.24
5,2125,3794.4900000000002
1,76,196.89
14,1283,3408.06
255,242,283.71
91,204,296.64
23,577,1104.23
16,1626,3460.9900000000002
23,222,291.88
26,1982,2043.7199999999998
26,2122,2838.56
259,2,590.0
165,134,356.97999999999996
24,345,1007.35
17,755,1722.8200000000002
7,5460,9537.92
29,286,183.44
38,1170,1445.0
183,61,143.25
58,403,674.68
100,258,297.95
10,580,1071.91
1,2581,5656.75
99,100,165.0
1,1583,2501.84
60,260,417.54
236,129,226.84
191,1012,1431.78
178,414,1092.77
37,1018,1441.53
198,133,291.0
45,1127,1776.81
232,116,184.64
65,160,140.34
241,44,313.8
233,277,454.24
78,669,1122.41
57,265,575.4
17,4512,8910.61
105,560,449.52
51,903,1215.82
136,408,1269.84
275,377,498.63
311,162,316.26000000000005
7,814,1990.1200000000001
10,329,617.93
282,159,321.05
17,1358,1146.96
23,585,1136.77
242,557,1310.47
16,264,292.0
71,248,216.85
64,178,295.93
67,2442,3522.88
312,321,452.82
3,1597,2479.16
243,24,110.97
8,1105,964.72
1,1382,1785.16
260,143,251.21
126,109,205.1
73,40,152.20000000000002
72,681,891.12
21,984,1374.41
59,1360,2109.07
85,382,627.16
50,22,110.80000000000001
58,1629,2967.75
1,715,1070.47
30,44,125.80000000000001
33,1745,3755.38
40,322,650.1800000000001
14,394,628.78
33,1664,2218.61
78,74,307.76
205,174,483.8
33,129,210.31
182,202,269.09
2,2876,5613.08
1,2126,3444.39
43,175,1280.85
85,314,605.84
39,112,276.06
12,357,621.09
96,436,678.16
25,457,916.12
319,12,91.80000000000001
66,1386,3539.53
73,2636,4098.88
28,546,584.06
5,338,594.52
7,63,171.42000000000002
215,83,141.85999999999999
81,757,1799.33
84,209,777.53
354,635,1174.03
19,172,240.22
40,567,856.84
173,66,187.05
17,155,337.12
243,161,239.49
12,1757,2088.94
205,534,1384.25
50,302,290.25
23,449,732.0699999999999
10,2640,6703.3
25,771,1658.3
14,176,467.04
309,30,118.0
155,725,781.03
306,37,142.4
31,160,347.0
15,2574,2449.5299999999997
14,114,379.65
11,1846,1976.12
64,485,1117.13
35,84,247.95999999999998
108,695,1965.0800000000002
52,359,396.97
5,384,664.11
47,51,147.29
1,3169,5028.57
312,324,219.52
45,548,693.32
64,267,428.89
26,164,164.34
29,276,276.75
40,288,675.51
12,486,1065.88
89,750,1140.8
24,564,1585.46
312,183,399.99
40,300,544.18
173,246,177.34
116,343,213.85
30,282,696.2
252,209,257.23
59,1266,1624.02
23,4372,7792.36
5,1377,1995.68
99,460,3021.77
24,1030,2114.68
33,700,1547.3600000000001
67,677,1071.03
36,586,941.62
52,404,803.05
15,93,122.64
74,800,1033.34
215,151,312.28
31,273,519.44
8,2060,2597.52
120,158,252.1
9,886,1640.22
256,139,346.6
16,918,1809.34
39,32,79.2
45,578,1095.08
43,2182,2707.33
114,605,932.97
164,490,379.65
10,208,367.14
9,1009,2421.47
197,867,1540.65
85,528,862.58
179,91,189.47
60,41,84.65
149,149,299.05
2,3617,6162.31
50,237,218.55
75,282,349.7
301,0,0.0
18,114,387.44
151,330,486.82000000000005
151,924,232.6
1,1265,2199.01
17,360,827.83
187,10,59.5
285,37,62.13
2,5056,3119.44
182,70,72.0
63,512,910.0
59,67,172.25
24,1225,1473.3700000000001
325,-6,-32.0
3,61904,62961.54
31,1599,2444.13
38,177,151.29999999999998
155,66,308.58000000000004
26,2281,2248.63
5,1528,2295.31
7,363,711.86
302,189,330.79
267,351,806.41
271,300,283.33
3,3493,6228.71
31,176,180.48
218,140,252.06
246,352,228.84
281,554,1051.99
269,138,138.28
32,1958,1432.26
246,173,306.55
15,609,1041.68
116,500,784.9
36,316,524.14
120,1400,2369.16
217,43,199.85000000000002
49,659,1809.81
38,1054,1079.6599999999999
28,162,333.48
36,458,1016.14
135,488,752.6
219,278,610.59
28,498,491.86
24,1081,2764.48
5,492,721.9
200,125,339.59999999999997
18,54,216.9
240,425,350.75
71,217,666.33
16,1107,3079.27
2,1775,1340.1499999999999
95,1153,1080.52
151,486,291.54
95,439,948.25
53,516,1647.26
288,152,296.25
124,873,1145.38
287,512,741.26
151,214,282.59999999999997
3,1219,2101.39
2,3164,5145.12
11,1844,3190.55
33,287,659.4100000000001
54,197,286.79
50,642,1070.65
204,0,3.552713678800501e-15
63,725,1689.46
70,923,1516.42
2,7258,16945.71
2,1152,2771.87
64,1476,2631.7
33,540,1122.63
81,192,345.0
0,12807,25758.100000000002
103,70,178.7
7,318,360.01
250,30,127.84
12,369,908.86
9,2493,2462.79
367,136,230.39999999999998
75,337,309.04
4,748,348.8
43,828,1047.68
66,92,195.55
1,23515,36352.87
116,402,688.86
309,331,558.32
66,168,324.8
138,2281,3906.27
255,121,277.07
30,1462,2588.39
52,1900,924.6
63,56,256.38
367,36,112.6
5,782,1747.66
305,29,155.05
28,307,827.51
183,63,519.75
42,330,485.0
39,539,1155.41
56,862,1562.12
22,2537,3654.91
23,256,483.04
29,208,328.98
301,1109,1140.35
144,153,385.64
5,611,632.0
18,439,957.66
32,768,1698.94
158,81,179.55
57,138,409.8
22,311,209.49
16,743,2198.45
17,25,40.949999999999996
159,117,383.85
25,442,834.57
211,182,266.59000000000003
5,254,674.82
58,1768,3385.62
11,196,361.62
64,182,312.98
24,383,847.61
92,3700,1255.0
51,1016,1537.95
88,941,1586.81
95,1705,2651.46
8,304,1056.94
8,2278,8025.0199999999995
168,484,363.4
57,75,216.17
326,129,201.16
1,589,1240.0
18,1682,2187.31
245,219,299.56
58,204,501.56
74,57,145.67000000000002
31,501,1005.09
7,1964,3192.54
123,1709,3083.65
2,1320,2751.25
22,2801,6389.8
119,138,381.7
358,180,540.45
53,1316,1786.79
63,36,122.7
86,108,117.24
54,463,1271.57
21,1842,3219.77
3,10062,16989.52
2,950,1131.28
1,1369,2542.25
7,297,781.3000000000001
189,182,506.8
71,126,243.56
204,147,349.55
119,254,595.67
92,146,416.90000000000003
1,826,1860.8600000000001
26,983,632.97
297,190,821.1
22,339,535.97
21,1364,2588.12
50,200,311.16
325,133,155.93
16,156,388.52
183,430,740.95
72,1739,2867.2
37,332,332.64
79,1469,2297.05
57,2731,2580.91
3,379,613.95
49,228,272.04
49,1140,1212.8400000000001
53,435,314.15999999999997
351,93,172.25
53,185,351.13
1,1532,1682.08
36,327,616.65
23,104,223.85000000000002
74,214,348.99
10,129,464.57
169,139,802.85
57,274,337.34
85,721,1230.93
294,72,307.4
109,205,608.7900000000001
263,390,922.1
171,324,361.28
169,123,158.85
35,70,71.66
23,843,556.75
17,516,839.14
21,2307,4912.41
79,443,561.5699999999999
65,44,90.6
360,40,102.0
2,2474,2427.32
11,320,713.56
176,459,674.45
211,1424,3246.09
7,2724,3515.68
1,141,378.59
154,154,322.96
5,486,1019.27
372,-23,-102.45
79,355,594.04
21,142,230.22
21,87,169.55
308,460,664.54
145,42,80.7
7,4469,8956.92
8,1818,2702.2200000000003
70,187,190.25
287,109,264.7
49,249,413.59000000000003
31,1690,2438.19
206,154,357.98
14,315,196.79000000000002
73,639,869.87
60,172,200.14
39,1132,1861.11
29,1170,2590.46
26,271,488.03
4,3437,7024.53
17,430,320.46
19,3025,4098.8
65,1313,1266.08
213,190,311.3
12,992,846.54
30,64,76.8
32,891,3394.66
3,932,2274.14
15,867,1383.49
10,2231,3865.26
206,707,633.71
45,962,2043.0800000000002
134,877,529.73
43,2668,4582.64
9,2478,2874.72
115,641,962.19
198,361,685.9300000000001
277,160,328.8
110,462,473.02
77,1076,505.18
52,378,917.34
154,2123,4278.46
46,1034,1398.96
16,441,642.8
155,192,631.9
225,487,440.0
7,345,584.07
121,150,327.7
60,62,104.82
63,198,467.66
18,1478,2358.84
7,5371,14698.91
2,2008,2929.84
22,312,509.09
28,738,1413.02
284,268,626.65
176,46,147.20000000000002
78,963,1554.48
33,92,152.2
40,1515,3491.64
266,94,141.41
26,304,646.42
109,535,1659.75
284,443,151.59
8,377,1290.01
277,274,375.13
16,3784,5536.15
31,689,746.36
0,3740,15462.34
19,89,225.36
124,215,260.25
65,62,92.46
106,216,725.6400000000001
1,4213,8063.3
23,4705,6141.099999999999
266,128,183.6
4,5374,6135.38
9,5593,10464.85
29,1334,1168.92
266,45,152.55
63,361,374.7
320,73,265.85
3,861,1291.34
21,128,139.54
4,754,942.26
129,79,118.67
40,268,499.41999999999996
101,310,1049.37
124,301,375.1
32,48,45.599999999999994
267,589,891.77
364,110,182.25
4,705,1002.9
2,3176,4408.54
2,249,178.72
10,12593,50415.49
56,133,158.75
7,2061,4063.1
12,391,433.86
4,16336,53258.43
36,104,147.35
16,2177,3092.9700000000003
137,63,191.95000000000002
73,6942,5976.79
5,746,1060.33
154,72,216.20999999999998
85,798,1260.33
51,1788,2688.48
30,380,594.16
23,56,80.2
3,2443,5669.65
14,456,673.6
22,1608,2774.17
3,635,1377.92
273,101,386.53
19,707,1382.74
143,72,90.0
3,2078,2740.3
84,1618,419.58000000000004
10,1628,2720.63
7,457,628.6300000000001
122,321,709.71
60,564,637.5
1,592,1123.8600000000001
319,257,480.91
2,3366,3580.13
129,342,590.3399999999999
1,3850,4690.31
1,600,965.8800000000001
46,510,415.82
3,809,920.05
2,337,879.0300000000001
373,313,311.81
133,30,115.8
46,636,3148.2
8,1886,2949.57
49,96,468.4
233,16,157.2
212,129,259.43
35,496,658.64
75,699,611.09
239,465,1345.62
266,25,118.75
9,56896,113685.77
19,260,392.44
40,781,507.66
19,4332,4613.2699999999995
215,450,1097.6200000000001
173,142,289.36
87,893,2445.91
70,1033,1631.77
275,53,120.44
39,147,562.59
98,167,363.79
10,150,450.84
33,94,134.46
51,1461,3108.06
297,207,574.0
84,203,544.51
8,1492,1580.26
40,319,701.57
10,710,4640.77
66,127,452.89
331,6,197.65
8,1145,2018.91
2,3919,4604.31
1,3657,4660.01
67,445,853.39
4,5783,11216.75
201,702,962.7
106,142,335.52
4,280,663.5
218,28,185.39999999999998
60,578,688.04
2,72,150.61
16,100,228.5
239,274,308.26
94,114,151.74
10,688,2067.13
91,759,1900.89
53,1232,2208.3
89,1152,1070.48
371,-244,-1192.2
30,748,1000.23
11,1354,1777.92
3,593,1824.3
1,677,1925.3600000000001
42,160,169.48000000000002
4,78,89.94
247,272,632.4
42,2190,3427.85
177,607,683.17
92,583,975.23
110,483,1009.73
28,1289,2184.2400000000002
26,1811,3315.71
51,590,1450.6
179,402,822.0600000000001
31,1937,2043.93
43,671,1447.51
22,951,754.12
10,1947,3093.86
80,310,490.86
373,38,161.0
326,111,146.85
43,986,2323.5
30,418,890.34
183,146,213.70000000000002
234,123,280.55
8,1204,2535.88
176,971,1677.48
110,804,1474.06
278,47,136.76999999999998
318,102,302.58
7,1200,1904.05
1,1674,2879.7000000000003
254,410,935.0600000000001
51,1677,3087.27
9,7098,12650.08
141,68,120.0
50,406,1163.45
8,1645,2618.23
154,66,319.47
109,330,530.18
150,461,1279.09
331,197,492.65000000000003
225,88,112.32
73,599,437.96
51,264,559.97
88,723,1019.39
15,1614,3892.8
196,52,134.04
3,2656,3701.44
30,157,578.45
21,541,1910.01
23,4306,4595.81
8,237,156.23000000000002
212,187,413.85
8,292,911.26
11,913,2307.4500000000003
1,2748,3873.3
7,1643,4819.33
3,709,1046.56
40,83,157.70000000000002
17,862,1290.48
3,58021,50862.44
8,2013,2855.35
18,32,43.2
107,600,632.04
222,54,197.1
71,1068,1788.76
51,1073,2083.42
88,2058,2995.72
8,1619,2319.68
225,125,229.71
46,1012,1611.59
106,296,120.0
21,1010,2456.98
64,255,508.58000000000004
206,239,343.11
10,2406,1530.75
114,340,574.26
234,99,166.85
163,139,311.65
8,3067,4889.14
124,252,462.65999999999997
22,463,840.21
64,52,351.45
16,1730,2539.46
16,375,454.86
16,1759,1614.91
158,329,554.22
234,151,293.73
218,58,134.7
45,1395,2151.08
21,338,608.71
127,477,889.9300000000001
38,50,108.97999999999999
120,605,1021.58
260,183,409.57
10,86,133.5
270,166,258.7
157,538,1078.96
215,64,90.6
5,210,163.62
365,92,174.4
60,266,666.9399999999999
43,147,225.12
19,363,882.58
31,1139,2118.03
22,96,151.5
108,1967,3717.35
8,4398,9134.12
319,36,155.0
295,34,100.5
358,17,76.55
185,184,235.56
191,219,617.05
44,292,348.1
52,146,202.68
26,1231,615.49
38,817,1247.69
9,159,202.11
296,54,142.4
32,795,1727.6
8,1933,3172.04
8,702,999.72
10,2122,4582.22
218,13,67.95
2,1685,3444.11
65,225,487.99
0,1852,2556.68
141,450,559.7
4,4505,4039.98
130,513,1426.31
33,819,1409.72
119,77,156.75
107,1411,2096.08
10,1610,2599.03
71,1158,1908.25
15,298,587.45
310,196,1063.0
35,784,761.3299999999999
362,67,121.05
91,2509,1485.1299999999999
1,2958,5766.85
22,326,490.22
3,1711,1937.25
10,483,1051.79
85,333,385.87
57,365,813.11
0,2906,4263.64
218,120,265.2
18,2339,3918.9
50,228,363.34000000000003
7,420,1209.3700000000001
298,124,423.26
9,2013,2248.5
21,368,1372.8
98,129,89.06
365,60,63.0
306,82,131.9
319,526,2661.24
8,588,2357.6800000000003
0,430,1545.14
